ITEM:  TIMESTEP
     0
ITEM: NUMBER OF ATOMS
 26040
ITEM: BOX BOUNDS pp pp pp
 -0.29999E+02   0.29999E+02
 -0.29999E+02   0.29999E+02
 -0.69741E+02   0.69741E+02
ITEM: ATOMS id element usc umech ucond theta
   116  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   117  Al  -0.87964E+04   0.24522E+05   0.00000E+00   0.34707E+03
   118  Al  -0.91276E+04   0.24191E+05   0.00000E+00   0.34707E+03
   119  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   120  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
   121  Al  -0.86230E+04   0.24696E+05   0.00000E+00   0.34707E+03
   122  Al  -0.83554E+04   0.24963E+05   0.00000E+00   0.34707E+03
   123  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   124  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   125  Al  -0.89516E+04   0.24367E+05   0.00000E+00   0.34707E+03
   126  Al  -0.90347E+04   0.24284E+05   0.00000E+00   0.34707E+03
   127  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
   128  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
   129  Al  -0.91791E+04   0.24140E+05   0.00000E+00   0.34707E+03
   130  Al  -0.89042E+04   0.24415E+05   0.00000E+00   0.34707E+03
   131  Al  -0.10609E+05   0.22710E+05   0.00000E+00   0.34707E+03
   132  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
   133  Al  -0.88341E+04   0.24485E+05   0.00000E+00   0.34707E+03
   134  Al  -0.82289E+04   0.25090E+05   0.00000E+00   0.34707E+03
   135  Al  -0.10609E+05   0.22709E+05   0.00000E+00   0.34707E+03
   136  Al  -0.10610E+05   0.22709E+05   0.00000E+00   0.34707E+03
   137  Al  -0.86505E+04   0.24668E+05   0.00000E+00   0.34707E+03
