ITEM: TIMESTEP
     0
ITEM: NUMBER OF ATOMS
 26040
ITEM: BOX BOUNDS pp pp pp
 -0.29999E+02   0.29999E+02
 -0.29999E+02   0.29999E+02
 -0.69741E+02   0.69741E+02
ITEM: ATOMS id element x y z vx vy vz fx fy fz
    21  Al  -0.99998E+01  -0.29999E+02  -0.69741E+02   0.92128E+00  -0.29443E+00  -0.45823E+01  -0.32375E+03   0.50097E+03  -0.12654E+04
    22  Al  -0.79998E+01  -0.27999E+02  -0.69741E+02   0.57827E+01  -0.29147E+01   0.39180E+00  -0.21322E+03   0.34384E+03   0.21721E+04
    23  Al  -0.99998E+01  -0.27999E+02  -0.67741E+02  -0.68483E+00   0.12321E+01   0.40424E+00  -0.10390E+02  -0.35620E+01  -0.89942E+03
    24  Al  -0.79998E+01  -0.29999E+02  -0.67741E+02   0.18394E+01  -0.82034E+00  -0.98783E-01  -0.12700E+01  -0.13206E+02  -0.90394E+03
    25  Al  -0.59999E+01  -0.29999E+02  -0.69741E+02  -0.36921E+01   0.12335E+01  -0.50311E+01   0.23570E+03   0.61799E+03  -0.94264E+03
    26  Al  -0.39999E+01  -0.27999E+02  -0.69741E+02   0.20068E+01   0.37496E+01  -0.30283E-02   0.83151E+03   0.19325E+03  -0.10508E+03
    27  Al  -0.59999E+01  -0.27999E+02  -0.67741E+02  -0.14872E+00  -0.17201E+01   0.21619E+01   0.71038E+01  -0.41785E+01  -0.89259E+03
    28  Al  -0.39999E+01  -0.29999E+02  -0.67741E+02  -0.19075E+01   0.24429E+01  -0.21910E+00   0.58662E+01  -0.61086E+01  -0.91408E+03
    29  Al  -0.20000E+01  -0.29999E+02  -0.69741E+02   0.59405E+00  -0.11481E+00  -0.87224E+00   0.20662E+03   0.12220E+03  -0.22691E+04
    30  Al   0.00000E+00  -0.27999E+02  -0.69741E+02   0.10882E+01   0.45731E+01   0.84982E+00  -0.38395E-11   0.51297E+02  -0.22865E+04
    31  Al  -0.20000E+01  -0.27999E+02  -0.67741E+02  -0.52488E+01  -0.46344E+01   0.12329E+01   0.85973E+01  -0.12444E+01  -0.92420E+03
    32  Al   0.00000E+00  -0.29999E+02  -0.67741E+02   0.38992E+01  -0.18361E+01  -0.26382E+01  -0.24800E-11   0.26344E+01  -0.92543E+03
    33  Al   0.20000E+01  -0.29999E+02  -0.69741E+02  -0.65337E+00  -0.23381E+01   0.15557E+01  -0.20662E+03   0.12220E+03  -0.22691E+04
    34  Al   0.39999E+01  -0.27999E+02  -0.69741E+02  -0.19765E+01  -0.12636E+01   0.67281E+00  -0.83151E+03   0.19325E+03  -0.10508E+03
    35  Al   0.20000E+01  -0.27999E+02  -0.67741E+02  -0.20918E+01  -0.20718E+01   0.17815E+01  -0.85973E+01  -0.12444E+01  -0.92420E+03
    36  Al   0.39999E+01  -0.29999E+02  -0.67741E+02  -0.18713E+01   0.12806E+01   0.67033E+00  -0.58662E+01  -0.61086E+01  -0.91408E+03
    37  Al   0.59999E+01  -0.29999E+02  -0.69741E+02   0.25416E+01  -0.82727E+00  -0.88879E+00  -0.23570E+03   0.61799E+03  -0.94264E+03
    38  Al   0.79998E+01  -0.27999E+02  -0.69741E+02  -0.37895E+01  -0.43723E+01  -0.14927E+01   0.21322E+03   0.34384E+03   0.21721E+04
    39  Al   0.59999E+01  -0.27999E+02  -0.67741E+02   0.41597E+00   0.22508E+00   0.46354E+01  -0.71038E+01  -0.41785E+01  -0.89259E+03
    40  Al   0.79998E+01  -0.29999E+02  -0.67741E+02   0.32183E+01  -0.28758E+01   0.11079E+01   0.12700E+01  -0.13206E+02  -0.90394E+03
    41  Al   0.99998E+01  -0.29999E+02  -0.69741E+02   0.22393E+01   0.13158E+01   0.18944E+01   0.32375E+03   0.50097E+03  -0.12654E+04
    42  Al   0.12000E+02  -0.27999E+02  -0.69741E+02  -0.27425E+01   0.69084E+00  -0.28721E+01   0.71665E+03   0.13421E+03  -0.10068E+04
    43  Al   0.99998E+01  -0.27999E+02  -0.67741E+02   0.40953E+00  -0.16961E+01   0.61664E+00   0.10390E+02  -0.35620E+01  -0.89942E+03
    44  Al   0.12000E+02  -0.29999E+02  -0.67741E+02  -0.73529E+00  -0.21904E+01   0.97543E+00   0.54854E+01  -0.28049E+01  -0.91850E+03
    45  Al   0.14000E+02  -0.29999E+02  -0.69741E+02   0.27260E+00  -0.22738E+01  -0.27158E+01   0.10548E+03   0.54652E+02  -0.24383E+04
    46  Al   0.16000E+02  -0.27999E+02  -0.69741E+02   0.19912E+01   0.10643E+01   0.16740E+01  -0.26050E+03   0.60653E+02  -0.21411E+04
    47  Al   0.14000E+02  -0.27999E+02  -0.67741E+02   0.36184E+01   0.14746E+01   0.22652E+01   0.46523E+01  -0.76674E+00  -0.92922E+03
    48  Al   0.16000E+02  -0.29999E+02  -0.67741E+02   0.76274E+00   0.44028E+01   0.27842E+01  -0.22771E+01   0.19493E+01  -0.92457E+03
    49  Al   0.18000E+02  -0.29999E+02  -0.69741E+02  -0.58409E+00  -0.11530E+01  -0.16405E+01  -0.29143E+03   0.22875E+03  -0.19950E+04
    50  Al   0.20000E+02  -0.27999E+02  -0.69741E+02  -0.35187E-01   0.22191E+01  -0.95410E+00  -0.79603E+03   0.25686E+03   0.86043E+03
    51  Al   0.18000E+02  -0.27999E+02  -0.67741E+02  -0.29649E+01   0.10726E+01   0.27502E+01  -0.11139E+02  -0.19480E+01  -0.91673E+03
